,Full Finding Name - English,Report?,Report Section,Sentence Order,Report Sentence,Comment,Approved Localisation Type From Finding Spec,,
abdominal_clips,Abdominal clips,TRUE,Other,4,Surgical clips present in the abdomen.,,N/A,,
biliary_stent,Biliary stent,TRUE,Other,3,Biliary stent in situ.,,N/A,,
distended_bowel,Distended bowel,TRUE,Other,2,Distended bowel loops seen in the imaged upper abdomen.,,N/A,,
gallstones,Gallstones,TRUE,Other,5,Gallstones noted.,,N/A,,
hiatus_hernia,Hiatus hernia,TRUE,Other,6,Hiatus hernia evident.,,N/A,,
subdiaphragmatic_gas,Subdiaphragmatic gas,TRUE,Other,1,Appearances suspicious for pneumoperitoneum.,,N/A,,
dish,Diffuse spinal osteophytes,TRUE,Bones,2,Appearance of diffuse idiopathic skeletal hyperostosis.,,N/A,,
kyphosis,Kyphosis ,TRUE,Bones,4,Thoracic kyphosis is noted.,,N/A,,
osteopaenia,Osteopaenia,TRUE,Bones,5,Vertebrae appear reduced in density.,,N/A,,
spinal_fixation,Spinal fixation,TRUE,Bones,1,Surgical fixation of the spine.,,N/A,,
spine_arthritis,Spinal arthritis,TRUE,Bones,3,Degenerative changes of the spine noted.,,N/A,,
acute_aortic_syndrome,Widened aortic contour,TRUE,Cardiomediastinal,9,Mediastinum is widened.,,N/A,,
aortic_arch_calcification,Aortic arch calcification,TRUE,Cardiomediastinal,10,Thoracic aortic calcification demonstrated.,,N/A,,
aortic_stent,Aortic stent,TRUE,Cardiomediastinal,8,Aortic stent in situ.,,N/A,,
cardiac_valve_prosthesis,Cardiac valve prosthesis,TRUE,Cardiomediastinal,2,Cardiac valve prosthesis in situ.,,N/A,,
cardiomegaly,Widened cardiac silhouette,TRUE,Cardiomediastinal,1,Cardiac silhouette is enlarged.,,N/A,,
coronary_stent,Coronary stent,TRUE,Cardiomediastinal,4,Coronary artery stent visualised.,,N/A,,
electronic_cardiac_devices,Electronic cardiac devices,TRUE,Cardiomediastinal,4,Pacing device present.,,N/A,,
mediastinal_clips,Mediastinal clips,TRUE,Cardiomediastinal,6,Surgical clips project over the mediastinum.,,N/A,,
oesophageal_stent,Oesophageal stent,TRUE,Cardiomediastinal,5,Oesophageal stent in situ.,,N/A,,
sternotomy_wires,Sternotomy wires ,TRUE,Cardiomediastinal,7,Sternotomy wires noted.,,N/A,,
unfolded_aorta,Unfolded aorta,TRUE,Cardiomediastinal,11,Aorta is tortuous.,,N/A,,
airway_stent,Airway stent,TRUE,Lung parenchyma,1,Airways stent present.,,N/A,,
pulmonary_congestion,Pulmonary congestion,TRUE,Lung parenchyma,2,Upper zone venous diversion indicating pulmonary congestion.,,N/A,,
cervical_flexion,Cervical flexion,TRUE,Technical quality ,3,Lung apices partially obscured due to cervical flexion.,,N/A,,
overexposed,Overexposed,TRUE,Technical quality ,1,Overexposure noted,,N/A,,
patient_rotated,Patient rotation,TRUE,Technical quality ,4,Patient rotation noted.,,N/A,,
underinflation,Underinflation,TRUE,Technical quality ,2,Lungs appear underinflated.,,N/A,,
gastric_band,Gastric band,FALSE,Other,,Gastric band present.,Rare finding,N/A,,
acute_clavicle_fracture,Acute clavicle fracture,FALSE,Bones,,An acute fracture is noted in the [right/left/bilateral] clavicle. ,Requires laterality,Laterality,,
acute_humerus_fracture,Acute humerus fracture,FALSE,Bones,,An acute fracture is noted in the [right/left/bilateral] visualised humerus. ,Requires laterality,Laterality,,
acute_rib_fracture,Acute rib fracture,FALSE,Bones,,Acute fracture noted in the [fill in locations] rib.,Requires laterality,Map,,
chronic_clavicle_fracture,Chronic clavicle fracture,FALSE,Bones,,Chronic [right/left/bilateral] clavicle fracture.,Requires laterality,N/A,,
chronic_humerus_fracture,Chronic humerus fracture,FALSE,Bones,,Chronic [right/left/bilateral] humerus fracture.,Requires laterality,N/A,,
chronic_rib_fracture,Chronic rib fracture,FALSE,Bones,,Chronic [right/left/bilateral] rib fracture.,Requires laterality,N/A,,
clavicle_fixation,Clavicle fixation,FALSE,Bones,,Fixation of the [right/left/bilateral] clavicle.,Requires laterality,Laterality,,
clavicle_lesion,Clavicle lesion,FALSE,Bones,,Bony lesion of the [right/left/bilateral] clavicle.,Insufficient description,Map,,
humeral_lesion,Humeral lesion,FALSE,Bones,,Bony lesion of the [right/left/bilateral] humerus.,Insufficient description,Map,,
pectus_carinatum,Pectus carinatum,FALSE,Bones,,Pectus carinatum,"Low value, High prevalence of contradiction",N/A,,
pectus_excavatum,Pectus excavatum,FALSE,Bones,,Pectus excavatum,"Low value, High prevalence of contradiction",N/A,,
rib_fixation,Rib fixation,FALSE,Bones,,Internal rib fixation noted.,Requires laterality,Laterality,,
rib_lesion,Rib lesion,FALSE,Bones,,Bony lesion within the [side and number] rib.,Insufficiently described,Map,,
rib_resection,Rib resection,FALSE,Bones,,Rib deformity in keeping with previous rib resection.,Requires laterality,N/A,,
rotator_cuff_anchor,Rotator cuff anchor,FALSE,Bones,,[Bilateral/right/left] rotator cuff anchors noted. ,Requires laterality,Laterality,,
scapular_fracture,Scapular fracture,FALSE,Bones,,"Fracture of the [bilateral/right/left] scapula, [acute/chronic].",Insufficiently described,Laterality,,
scapular_lesion,Scapular lesion,FALSE,Bones,,Bony lesion within the [bilateral/right/left] scapula.,Insufficiently described,Map,,
scoliosis,Scoliosis ,FALSE,Bones,,"Thoracic spine scoliosis, convex to the [right/left].",Insufficiently described,N/A,,
shoulder_arthritis,Shoulder arthritis,FALSE,Bones,,[Right/left/bilateral] shoulder arthritis.,Requires laterality,N/A,,
shoulder_dislocation,Shoulder dislocation,FALSE,Bones,,[Right/left/bilateral] suspected shoulder dislocation.,Requires laterality,Laterality,,
shoulder_fixation,Shoulder fixation,FALSE,Bones,,Internal fixation [right/left/bilateral] shoulder girdle.,Insufficiently described,Laterality,,
shoulder_replacement,Shoulder replacement,FALSE,Bones,,[Right/left/bilateral] shoulder replacement.,Requires laterality,Laterality,,
spine_lesion,Spinal lesion,FALSE,Bones,,Focal lesion within the [upper/mid/lower] thoracic spine.,Insufficiently described,Map,,
spine_wedge_fracture,Spinal wedge fracture,FALSE,Bones,,Vertebral compression fracture noted.,Insufficiently described,Map,,
calcified_hilar_lymphadenopathy,Calcified hilar lymphadenopathy,FALSE,Cardiomediastinal,,Calcified hilar lymph nodes noted.,Requires laterality,N/A,,
hilar_lymphadenopathy,Hilar lymphadenopathy,FALSE,Cardiomediastinal,,[Bilateral/right/left] hilar enlargement.,Requires laterality,N/A,,
inferior_mediastinal_mass,Inferior mediastinal mass,FALSE,Cardiomediastinal,,Mediastinal masses noted.,Insufficiently described,N/A,,
pericardial_fat_pad,Pericardial fat pad,FALSE,Cardiomediastinal,,Pericardial fat pad noted.,Requires laterality,N/A,,
pneumomediastinum,Pneumomediastinum ,FALSE,Cardiomediastinal,,Pneumomediastinum noted.,Review if we should include this,N/A,,
